severity_eta,slope_alpha,expected_ffr,resistance_R
0.8447235970894752,0.010027772883496183,0.22,15.161428571428571
0.8269769017143241,0.010446006136527873,0.2742857142857143,16.990000000000002
0.812808613057419,0.011066361495872843,0.32857142857142857,18.81857142857143
0.7676978379181872,0.010789085899446068,0.3828571428571429,20.19
0.8307961057496248,0.01464829828067528,0.43714285714285717,16.532857142857143
0.8396580583597021,0.017266260643093327,0.49142857142857144,14.704285714285714
0.7103462647802115,0.013401882739268137,0.5457142857142857,19.275714285714287
0.6135483794154094,0.01115767565888318,0.6,14.247142857142856
0.7831953883703818,0.025731998970305658,0.6542857142857142,19.732857142857142
0.7169029321923767,0.026712857317801614,0.7085714285714285,13.79
0.812349934968943,0.05995479487444521,0.7628571428571428,18.361428571428572
0.6442896312912699,0.04773609057820567,0.8171428571428571,16.075714285714284
0.5600613969518424,0.06968919204189268,0.8714285714285714,17.447142857142858
0.41368227721796413,0.10050149574493653,0.9257142857142857,17.904285714285713
0.21281266832764614,0.3504552787296371,0.98,15.618571428571428
