folder,dofs,l2_velocity,l2_pressure,cd,cl
2026-04-08T10.48.11_res0p04_pgrade1,594,0.16841904394767496,0.24173117768999328,2.693897,-0.024329771977622902806
2026-04-07T23.36.13_res0p02_pgrade1,2028,0.17771679793858364,0.2450008290740856,4.111041,0.000901847346734428387260429360594571335241198539733886718750000000
2026-04-07T23.20.14_res0p01_pgrade1,7617,0.18833261767481718,0.25590884909548456,4.951149,0.002895743512375953399029526735830586403608322143554687500000000000
2026-04-07T23.20.15_res0p005_pgrade1,29364,0.1947874720930264,0.2653058515905145,5.335659,0.011442837990961740590734052602783776819705963134765625000000000000
2026-04-07T23.20.17_res0p0025_pgrade1,116658,0.19729056518413443,0.2692977024026911,5.516409,0.011984079537837727391647035801724996417760848999023437500000000000
